id,Value
0,1012.8518296716494
1,952.9670205817474
2,930.0125143384878
3,895.9103340129382
4,848.2908555399257
5,809.3196474569473
6,824.9984089999554
7,531.2687662137026
8,-160.0
9,-160.0
10,-37.639897070160146
11,909.9203383607451
12,918.1431671251019
13,842.7488638506065
14,802.9828529286447
15,847.5965172668097
16,854.7885315664079
17,847.1576754950985
18,866.5747389454474
19,891.4610970440394
20,964.6482914933883
21,967.6351761300496
22,978.9615781590269
23,980.7609867182989
24,922.8516901040384
25,900.2032471841076
26,882.4956457991541
27,845.7236988256784
28,816.7831765866076
29,807.0974647892008
30,938.5739526599767
31,920.5566358242811
32,883.1439935534389
33,853.5909743215288
34,835.1719211200516
35,835.4450638213351
36,874.3598151190381
37,864.5342650330256
38,815.3292328251944
39,887.3228089743311
40,879.1634331785579
41,890.4205441027675
42,869.2192546372113
43,856.1689182547983
44,850.0248999507924
45,865.3787232726662
46,907.5295879864914
47,893.4911787347378
48,901.2759791212807
49,886.6310687718226
50,863.4514610109687
51,879.4348308029571
52,928.6486440811063
53,911.4124566364508
54,963.4130061721025
55,921.4091761445691
56,926.8487893342088
57,896.1771122448681
58,881.6439980979603
59,828.2983669961222
60,814.159951878971
61,821.2769412498142
62,854.2328380214201
63,838.1276515762383
64,783.627443337652
65,753.4733607185133
66,702.4366758550304
67,626.2581216909955
68,646.9260940821149
69,735.8237228895192
70,478.6581648171328
71,-160.0
72,-160.0
73,-45.82058827204719
74,756.1211737324608
75,768.4522490880647
76,726.6124935736751
77,704.0668064615929
78,721.7729933903252
79,727.1972237092797
80,725.2402168211413
81,731.7081924191929
82,746.9173498678351
83,778.7353124472656
84,779.6011545930878
85,783.2510506276883
86,785.8646676151584
87,761.8557310944138
88,748.1844830787536
89,738.3061469223343
90,714.3495361723946
91,697.3035853790583
92,697.6628186994188
93,763.6456738080163
94,759.3910843730873
95,742.6542114225126
96,728.8632353859881
97,716.4152275251125
98,717.6319079811346
99,740.3200333470913
100,738.9074281810771
101,698.0833352714968
102,753.5077063048332
103,751.7952793938229
104,757.1764544448415
105,749.3448106324818
106,744.8374543021835
107,742.5309917666884
108,747.2960493635338
109,766.6474019165976
110,762.2867269672644
111,766.8743394799872
112,760.4629941173322
113,752.024076766815
114,756.9961805026217
115,782.4076638408665
116,776.1476828815012
117,795.9769199184085
118,779.2797833599108
119,778.3249715998454
120,765.7920185341278
121,758.799711659551
122,729.2859138040772
123,721.4691056504232
124,730.2503952587383
125,744.0914240338049
126,530.7896434677365
127,598.5547791206202
128,631.9150132738896
129,650.3974993676989
130,628.0727115046104
131,707.6838876990487
132,672.2546960964298
133,363.8332245893262
134,-160.0
135,-160.0
136,-28.524997655373454
137,639.7040383390072
138,655.8248014847953
139,644.8670521646981
140,638.1695980167503
141,631.1035694491463
142,634.902412098894
143,638.1698829114807
144,632.7153368021291
145,639.0196181194012
146,632.7535118634004
147,631.6663656305142
148,628.2482353554892
149,631.6130101415858
150,638.8134032220984
151,633.4031091526617
152,630.730398030561
153,618.5644568969154
154,612.4646047522715
155,622.0751147597858
156,627.7729771803723
157,636.191344897494
158,638.4879484284015
159,639.2065124068881
160,632.2514897663591
161,634.3377439270039
162,642.0928734255519
163,648.4276423659383
164,615.3019073029961
165,655.4940076031758
166,659.7181817080822
167,659.6904608553031
168,664.1679839974038
169,667.5262259373714
170,668.7528956970466
171,663.7683744442435
172,662.1316421606094
173,666.6817134459651
174,668.3270846156983
175,669.4954313733884
176,674.628071731446
177,669.4615889097735
178,672.9644263580968
179,676.8101046008007
180,667.0203416676081
181,673.621646029497
182,666.7772838465957
183,670.9433475555945
184,670.8924353135102
185,663.312421116511
186,661.3137512385447
187,671.6321660647235
188,667.8758267558067
189,1121.7720788267916
190,954.5039489566117
191,888.4543131556126
192,823.7655526746811
193,682.2030532171652
194,694.9825093978436
195,789.9595611465967
196,523.0281832352041
197,-160.0
198,-160.0
199,-50.79998721827485
200,875.7971476614262
201,879.1488490594529
202,786.2462099390972
203,737.6625878854773
204,798.7923672540643
205,806.4036065491537
206,795.0124460984243
207,822.6986352673906
208,852.1433565349059
209,950.0053359244769
210,954.3769462118755
211,970.6342951498002
212,971.4417761711672
213,892.9898937067621
214,866.0444126419145
215,844.2697101288221
216,802.0574424059306
217,767.2565290598579
218,750.3160367134454
219,918.416945843772
220,891.20152759192
221,841.587207525375
222,802.893543689411
223,782.1406334248645
224,781.5474651573609
225,828.5454417578733
226,812.9115587846245
227,764.0799719216354
228,839.2865803566265
229,826.7746428590474
230,841.4017867534969
231,811.843082343046
232,793.3748416873261
233,784.8410959698492
234,807.0386512231784
235,862.504594621829
236,842.2121450829906
237,851.5712816975059
238,832.0277440956753
239,799.603070053078
240,822.7005986831908
241,885.0011354014927
242,860.8771711759966
243,932.8343586397962
244,875.303920224271
245,885.4752641445516
246,843.7631184310216
247,824.9186242180037
248,759.1061958944675
249,741.6589774913396
250,746.211003166371
251,790.7025023744759
